Ahmadnagar,5.32994435153359,5.83118177210724,5.09687358431292,6.7580193295513
Akola,8.06060412828001,9.75786873932043,8.23926218984855,11.0379876163844
Amravati,4.66042139517996,6.18509339989623,5.27986668383451,7.57315413895018
Aurangabad,5.1181379975207,6.52913638799975,5.24989114437728,7.96361930817491
Bhandara,2.48500776839708,4.68148916665263,3.36053112164753,7.64293455411043
Bid,3.64891295085112,5.28718096348861,3.74373307846469,6.50719343065913
Buldana,4.21525449780573,6.09260330483186,4.64930293646404,6.72582930141071
Chandrapur,2.88178217725551,4.82835913956879,3.57423386219948,6.65838076465305
Dhule,5.0074209971461,5.82021844368525,4.999734847301,6.7947776753426
Garhchiroli,2.06614399978395,4.66835456151899,3.07747230009532,6.44700442255888
Gondiya,1.7449669241676,4.50013308969244,3.1497824101101,7.10130356265175
Hingoli,2.89341653402884,5.34594639980665,3.85656602869131,7.84127434490631
Jalgaon,7.04352223902219,8.79708661673425,7.15506924671167,9.15872464518282
Jalna,4.28602923456797,6.30714326393359,4.56116430548029,7.35204071523411
Kolhapur,2.30908012513094,3.99877874303083,3.03404623191117,5.30631097559237
Latur,5.03985283389354,6.92895352609409,5.26460975887456,9.80467543545788
Mumbai,1.41528985507246,2.53833333333333,2.33717391304348,2.97579710144928
Mumbai Suburban,2.59173913043478,4.50630434782609,3.80347826086957,4.86905797101449
Nagpur,3.17334156538269,4.58275530502236,3.69789279859293,6.57038247518091
Nanded,3.30426189552704,5.20073210258375,3.67787939853913,6.64719058622706
Nandurbar,5.41190803685574,7.32326383352162,6.15514693804737,8.56076013647352
Nashik,3.64748604631505,4.49534561849147,3.98254176166088,6.30446708412913
Osmanabad,4.262486618509,5.7397547747093,4.44579976314076,6.84894168073196
Parbhani,4.31182937043118,6.29757360210199,4.37545169714269,7.59372721206901
Pune,3.23049945402377,4.08270658831836,3.33863559170528,5.34042951305
Raigarh,0.658754109013768,2.23280591034544,1.52090290861901,3.33016004875636
Ratnagiri,2.62717974731885,5.51652718505873,4.47235357724185,6.70465686565369
Sangli,3.93399401198334,4.88384930020082,3.60824621365889,5.93497452970323
Satara,3.3704947889296,4.77165275735733,3.55839710755572,5.95604840737097
Sindhudurg,2.65756863038328,5.37199731247786,4.08231459708576,6.55504747108809
Solapur,5.03910421421822,5.2863208994597,4.27680373342494,6.8380643105256
Thane,0.878981969158211,2.60437445951026,1.80367318298795,3.74913591634323
Wardha,3.014015618583,5.28056846450245,3.80356914295844,6.79907742224335
Washim,2.84273317887846,5.52868911376696,3.59458345562008,7.16824006355384
Yavatmal,3.13692328985019,5.00242822174737,3.91555843424425,6.42476801918836
