,2012,2013,2014,2015,2016,2017
AHMEDNAGAR,0,0,3.4,0,0,0.3
AKOLA ,0,0,5.1,0,0,0
AMRAOTI,0.1,0,5.6,0,0,0
AURANGABAD,0,10.7,17.8,0,0,0.2
BEED,0,24.9,0,0,0,12.7
BHANDARA,0,0,0,2.2,0,0
BULDHANA,0,0,12.7,0,0,0
CHANDRAPUR,0,0,0,0,0,0
DHULE,0,0,0.4,0,0,14.3
GADCHIROLI,0,0,0,0,0,0
GONDIA,0,0,0,2.3,0,0
HINGOLI,0,1.3,0,0,0,0
JALGAON,0,0,52.6,0,0,0.1
JALNA,0,10,0,0,0,0
KOLHAPUR,0,0,8.6,0,0,2.4
LATUR,0,36.8,4.5,0,0,0
MUMBAI CITY,0,0.5,30,0,0,104.8
MUMBAI SUBURBAN,0,0,1.5,0,0,75.8
NAGPUR,0,0,0.4,0,0,0
NANDED,0,0,0,0,0,0
NANDURBAR,0,0,1.6,0,,26.8
NASHIK,0,0,16.4,0,0,14.4
OSMANABAD,0,2.4,0.3,0,1,4.8
PARBHANI,0,17.5,0,0,0,0
PUNE,0,5.4,12.2,0,0,0.7
RAIGAD,0,6.5,24.1,0,0,29.3
RATNAGIRI,0,0,5.3,0,0,9.8
SANGLI,0,0,22.4,0,0,0.5
SATARA,0,4.5,2.8,0,2.3,3.4
SHOLAPUR,0,0,5.4,0.5,4.7,1.3
SINDHUDURG,0,0,18.9,0,0,19.2
THANE,0,0,0,0,0,22.7
WARDHA,0,0,0,0,0,0
WASHIM,0,0,0,0,0,0
YEOTMAL,0,0,0,0,0,0
