,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AHMEDNAGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,0,0,0.1,0.5,0,0
AKOLA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.9,13.2,1.1,43.4,0,0
AMRAOTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,16.1,0.9,50,0.2,0
AURANGABAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4.4,7.7,0,0
BEED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5.2,0,0
BHANDARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.1,0,0,10.9,0,0.6
BULDHANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.6,8.9,25,0,0.3
CHANDRAPUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,4,0,35.5,0.3,0
DHULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11.5,4,0,0
GADCHIROLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1.5,0,28.3,3.4,0
GONDIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4,12.2,0.3,15.3,0.2,2.1
HINGOLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,20,0,0
JALGAON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10.9,0.7,0,0
JALNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.2,18.6,0,0
KOLHAPUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.2,0,0.6
LATUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7.6,0,4.7,0,0
MUMBAI CITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.9,0,0,0
MUMBAI SUBURBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
NAGPUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.2,6.9,0.3,7.8,0.7,0.6
NANDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.7,0,13.1,0,0
NANDURBAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,4,0,0
NASHIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.7,3.3,0,0
OSMANABAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8.2,0,0
PARBHANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2.8,0,8.3,0,0
PUNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.5,1.2,0,0,0
RAIGAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
RATNAGIRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,6,0,0
SANGLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,8.6,0,0
SATARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SHOLAPUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
SINDHUDURG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
THANE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.3,0,0,0
WARDHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,16.5,0,13.8,0.7,0
WASHIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.4,0.9,14.2,0,0
YEOTMAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.9,0,22.3,0,0
