,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
AHMEDNAGAR,0,0,0,3.5,10.3,40,86,36.6,90.8,99.2,0.7,0
AKOLA ,7.9,0,0,0.7,3.7,130.8,293.5,154,199.5,34.4,0,0
AMRAOTI,3.2,0,0,6.4,12,147.4,282.4,243.5,316.1,25,0.4,0.1
AURANGABAD,0,0,0,6.8,16.3,52.1,124.1,72.4,83.9,49.2,0.1,0
BEED,0,0,0,0,0,55.4,107.4,81.6,105,81.3,0.9,0
BHANDARA,52.1,0,0,0,0,137.4,409.2,526.6,233.4,8.6,25.5,0
BULDHANA,0,0,0,0,0,106.4,198.7,106.3,141.5,44.5,0,0
CHANDRAPUR,7.8,0,0,2.3,0,102.8,444.3,455.2,253.2,54.3,18.4,0
DHULE,0,0,0,0,0,39.7,171.4,113.3,69.3,10.6,0,0
GADCHIROLI,21,0,0,0,0,101.2,545.1,568.6,303,37.6,9.1,0
GONDIA,18.4,4.2,0,0,0,93,451.4,444,239,11.5,9.3,0
HINGOLI,0,0,0,0,0,52.5,274.8,141.5,184.9,58.2,0,0
JALGAON,0,0,0,0,11.7,21.5,165.5,105.9,88.7,14.8,0,0
JALNA,0,0,0,0,0,42.9,100.4,60.4,71.7,46.9,0,0
KOLHAPUR,0,0,0,37.2,12.3,213.7,535.6,403.6,250.2,148.8,17.5,0
LATUR,1,0,0,5.6,0,115.3,184.1,162.5,164.1,125.8,12.9,0
MUMBAI CITY,0,0,0,0,0,176.9,392.5,520.2,343.3,127.1,0,0
MUMBAI SUBURBAN,0,0,0,0,0,290.7,627.9,377.4,563.9,197.7,0,0
NAGPUR,9.2,7,0,1.7,1.8,67,338.7,282.9,273.9,19.4,18.3,0
NANDED,1,0,0,0,0,98.4,194.7,176.4,148.5,59.2,6.5,0
NANDURBAR,0,0,0,0,0,25.1,227,266.5,206.8,7.8,0,0
NASHIK,0,0,0,0,17.7,81.6,290.6,295.6,184.8,80.3,0,0
OSMANABAD,0,0,0,10.8,17.2,46.5,145.1,49.6,114.3,50.4,6.4,0
PARBHANI,0.5,0.2,0,2,1.5,101.8,198.4,111.1,172.9,85.4,1.1,0
PUNE,0,0,0,9.6,2.5,63.3,161.5,202.7,116.6,133.3,1.1,0
RAIGAD,0,0,0,0,0,441.8,937.8,898.1,618.7,174.9,0,0
RATNAGIRI,0,0,0,0,0.7,783,1261.7,871.5,537.7,266.1,0,0
SANGLI,0,0,0,18.3,5.7,49.6,103,68.9,70.4,145.1,9.4,0
SATARA,0,0,0,23.8,4.7,113.2,195.9,232.1,122.1,125,1.4,0
SHOLAPUR,0,0,0,31.4,28.7,54.7,87.8,47.9,94.2,105.3,4.6,0
SINDHUDURG,0,0,0,0.7,0,960,910.2,790.5,409.7,195.5,0,0
THANE,0,0,0,0,0,241,725.7,544.4,577.3,104.5,0,0
WARDHA,5.9,0.5,0,2,2,112.9,211.3,203.2,309.4,24.7,8.1,0
WASHIM,0,0,0,10.8,7,153.1,328.5,156.6,155.3,51.6,0.4,0
YEOTMAL,0,0,0,0,0,151.2,352.4,185.3,192.3,41.8,5.7,0
